Node,Successors,Tags,Comments
"Abstract algebra","Groups; Semigroups; Fields; Modules; Rings; Lie algebras","abstract; algebra","the study of algebraic systems"
Algebra,"Boolean algebra; Complex numbers; Algebraic number theory; Power series; Continued fractions; Diophantine equations; Abstract algebra; ""Theory of equations""",algebra,"symbolic representations and symbolic calculation"
"Algebraic curves","Algebraic geometry",,
"Algebraic geometry","Algebraic groups; Theory of codes","algebra; geometry; high-powered",
"Algebraic groups","Group representations","groups-symmetry; algebra",
"Algebraic K-theory",,,
"Algebraic number theory",,"numbers; algebra",
"Algebraic topology","Spectral sequences; Algebraic K-theory; Differential topology","high-powered; abstract; topology-continuity; algebra",
Algorithms,"Computational geometry; Complexity theory; Combinatorial optimization; Programming languages; Theory of computation",,
"Analytic geometry","""Graphing""; Trigonometry; Calculus","geometry; algebra","the key discovery of modern mathematics"
"Analytic number theory",,,
Arithmetic,"Algebra; Continued fractions; Number theory; Power series",,"numbers and number systems"
"Artificial intelligence","Natural language processing; Mathematical linguistics; Logic; Mathematical neurology; Computer vision; Pattern recognition; Robotics",,
"Automatic groups",,,
"Banach spaces",,,
"Boolean algebra",,,
"Boolean algebra",,,
Calculus,"Differential equations; Numerical analysis; Discrete calculus; Vector calculus","linearity; measure-integration",
"Calculus of variations","Numerical analysis",optimization,
"Category theory",,,
"Chomsky theory",,,
"Classical mechanics","Symplectic manifolds",,
Cobordism,,,
"Cohomology of groups",,,
"Combinatorial algebra","Discrete calculus",,
"Combinatorial games","Surreal numbers",,
"Combinatorial geometry",,,
"Combinatorial optimization",Matroids,optimization,
Combinatorics,"Combinatorial algebra; Combinatorial games; Graph theory; Probability","beautiful; numbers; patterns-order",
Compilers,,,
"Complex geometry",,,
"Complexity theory",,,
"Complex manifolds","Riemann surfaces",,
"Complex numbers","Complex geometry",,
"Complex variables","Analytic number theory; Complex manifolds",,"The complex integral, Cauchy's integral theoresm, residues"
Computers,"Machine architecture; Operating systems; Programming languages",,
"Computer vision",,,
"Conics, cubics, quartics","Algebraic curves",geometry,
"Continued fractions","Number theory",,
"Control theory",Robotics,optimization,
"Convex analysis",,,
